g,a,b,c,ia,ib,ic,va,vb,vc
0,0,0,0,71.2422238,100.065889,-171.3081128,199.4218623,-1062.48863,863.066768
0,0,0,0,60.50521077,108.9067265,-169.4119374,266.8396547,-1087.30263,820.4629751
0,0,0,0,49.84815018,117.6851869,-167.5333374,338.4141828,-1103.99685,765.5826674
0,0,0,0,39.08063945,125.9695957,-165.0502358,408.858993,-1115.736833,706.8778395
0,0,0,0,28.04988706,133.71542,-161.7653081,476.3071768,-1123.089509,646.782332
0,0,0,0,15.1002876,140.9223017,-156.0225906,525.1425723,-1126.089337,600.946765
0,0,0,0,3.395644815,147.4986084,-150.8942546,587.4251157,-1124.444912,537.0197965
0,0,0,0,-8.129230436,153.4537778,-145.3245487,649.364134,-1118.205248,468.8411141
0,0,0,0,-19.68728732,158.7811526,-139.0938667,708.6249904,-1107.295088,398.6700976
0,0,0,0,-31.10463705,163.4002263,-132.2955907,764.6567525,-1091.941334,327.2845813
0,0,0,0,-42.37800351,167.3138378,-124.9358358,817.2931806,-1072.045602,254.7524216
0,0,0,0,-53.50872891,170.515628,-117.0069006,866.8873859,-1047.698938,180.8115519
0,0,0,0,-64.33653866,172.9567881,-108.6202511,912.7268336,-1019.207837,106.4810033
0,0,0,0,-74.86865089,174.6403432,-99.77169395,954.7742407,-986.5677149,31.79347416
0,0,0,0,-85.10038274,175.5575182,-90.45713721,993.1924844,-949.7507166,-43.44176784
0,0,0,0,-94.88879049,175.6924046,-80.80361585,1027.205698,-909.2310771,-117.9746208
0,0,0,0,-104.2400856,175.0475422,-70.80745841,1057.049729,-865.0319823,-192.0177465
0,0,0,0,-113.1493929,173.6144925,-60.46510143,1082.436002,-817.1185041,-265.3174977
0,0,0,0,-121.4989058,171.4096237,-49.91071981,1103.629298,-766.0599443,-337.5693533
0,0,0,0,-129.2872548,168.4364442,-39.14919136,1120.029469,-711.9352418,-408.0942273
0,0,0,0,-136.517413,164.6401942,-28.12278319,1131.971198,-655.1027929,-476.868405
0,0,0,0,-143.0907446,158.3296142,-15.23887158,1138.876298,-613.9031448,-524.9731527
0,0,0,0,-149.0280651,151.6955034,-2.667439724,1141.018121,-561.5092087,-579.5089125
0,0,0,0,-154.3394283,145.9357842,8.403643346,1137.955425,-489.8435949,-648.1118304
0,0,0,0,-158.9550756,139.6023828,19.35269276,1129.946828,-417.1857464,-712.7610812
0,0,0,0,-162.8778954,132.6754072,30.20248865,1117.010633,-343.6000691,-773.4105643
0,0,0,0,-166.1087178,125.1539002,40.95481858,1099.166095,-268.6771627,-830.4889321
